Crank Angle	PCYL1	CAM_TRIG	
deg	bar	V	
-360.0	1.573	0.85920	
-359.0	1.549	0.85952	
-358.0	1.503	0.85920	
-357.0	1.485	0.85920	
-356.0	1.410	0.85952	
-355.0	1.341	0.85920	
-354.0	1.285	0.85952	
-353.0	1.224	0.85920	
-352.0	1.141	0.85952	
-351.0	1.061	0.85952	
-350.0	0.997	0.85920	
-349.0	0.960	0.85952	
-348.0	0.909	0.85952	
-347.0	0.893	0.85952	
-346.0	0.853	0.85952	
-345.0	0.851	0.85952	
-344.0	0.832	0.85920	
-343.0	0.867	0.85952	
-342.0	0.843	0.85952	
-341.0	0.851	0.85952	
-340.0	0.843	0.85952	
-339.0	0.851	0.85920	
-338.0	0.848	0.85920	
-337.0	0.845	0.85952	
-336.0	0.840	0.85952	
-335.0	0.843	0.85920	
-334.0	0.840	0.85952	
-333.0	0.835	0.85920	
-332.0	0.835	0.85920	
-331.0	0.829	0.85920	
-330.0	0.824	0.85920	
-329.0	0.829	0.85920	
-328.0	0.832	0.85920	
-327.0	0.835	0.85920	
-326.0	0.835	0.85920	
-325.0	0.845	0.85920	
-324.0	0.851	0.85920	
-323.0	0.856	0.85920	
-322.0	0.856	0.85920	
-321.0	0.859	0.85920	
-320.0	0.861	0.85888	
-319.0	0.867	0.85920	
-318.0	0.869	0.85888	
-317.0	0.875	0.85920	
-316.0	0.875	0.85888	
-315.0	0.880	0.85888	
-314.0	0.885	0.85888	
-313.0	0.891	0.85888	
-312.0	0.891	0.85888	
-311.0	0.893	0.85888	
-310.0	0.896	0.85888	
-309.0	0.901	0.85888	
-308.0	0.899	0.85888	
-307.0	0.901	0.85888	
-306.0	0.904	0.85888	
-305.0	0.904	0.85888	
-304.0	0.907	0.85888	
-303.0	0.901	0.85856	
-302.0	0.901	0.85888	
-301.0	0.907	0.85856	
-300.0	0.901	0.85856	
-299.0	0.901	0.85888	
-298.0	0.899	0.85888	
-297.0	0.899	0.85888	
-296.0	0.899	0.85888	
-295.0	0.893	0.85888	
-294.0	0.896	0.85888	
-293.0	0.891	0.85888	
-292.0	0.891	0.85888	
-291.0	0.888	0.85888	
-290.0	0.888	0.85888	
-289.0	0.888	0.85888	
-288.0	0.885	0.85888	
-287.0	0.885	0.85888	
-286.0	0.883	0.85888	
-285.0	0.883	0.85888	
-284.0	0.883	0.85888	
-283.0	0.883	0.85888	
-282.0	0.883	0.85888	
-281.0	0.885	0.85888	
-280.0	0.883	0.85856	
-279.0	0.880	0.85888	
-278.0	0.883	0.85888	
-277.0	0.883	0.85888	
-276.0	0.880	0.85888	
-275.0	0.880	0.85888	
-274.0	0.883	0.85888	
-273.0	0.883	0.85856	
-272.0	0.880	0.85888	
-271.0	0.880	0.85888	
-270.0	0.880	0.85888	
-269.0	0.883	0.85888	
-268.0	0.883	0.85888	
-267.0	0.883	0.85888	
-266.0	0.880	0.85888	
-265.0	0.885	0.85920	
-264.0	0.888	0.85888	
-263.0	0.888	0.85920	
-262.0	0.888	0.85888	
-261.0	0.888	0.85888	
-260.0	0.893	0.85888	
-259.0	0.893	0.85888	
-258.0	0.899	0.85888	
-257.0	0.896	0.86749	
-256.0	0.899	0.85888	
-255.0	0.899	0.85888	
-254.0	0.904	0.85920	
-253.0	0.907	0.85920	
-252.0	0.907	0.85888	
-251.0	0.909	0.85888	
-250.0	0.912	0.85888	
-249.0	0.912	0.85920	
-248.0	0.917	0.85920	
-247.0	0.917	0.85920	
-246.0	0.920	0.85920	
-245.0	0.923	0.85920	
-244.0	0.925	0.85920	
-243.0	0.928	0.85920	
-242.0	0.931	0.85920	
-241.0	0.931	0.85920	
-240.0	0.933	0.85920	
-239.0	0.936	0.85920	
-238.0	0.936	0.85920	
-237.0	0.939	0.85920	
-236.0	0.939	0.85920	
-235.0	0.941	0.85920	
-234.0	0.941	0.85920	
-233.0	0.944	0.85920	
-232.0	0.947	0.85920	
-231.0	0.947	0.85920	
-230.0	0.947	0.85920	
-229.0	0.947	0.85920	
-228.0	0.949	0.85920	
-227.0	0.949	0.85920	
-226.0	0.949	0.85920	
-225.0	0.949	0.85920	
-224.0	0.949	0.85920	
-223.0	0.949	0.85952	
-222.0	0.952	0.85952	
-221.0	0.952	0.85920	
-220.0	0.949	0.85920	
-219.0	0.955	0.85952	
-218.0	0.952	0.85952	
-217.0	0.952	0.85920	
-216.0	0.955	0.85920	
-215.0	0.955	0.85920	
-214.0	0.955	0.85920	
-213.0	0.955	0.85920	
-212.0	0.955	0.85920	
-211.0	0.955	0.85920	
-210.0	0.955	0.85920	
-209.0	0.957	0.86143	
-208.0	0.955	0.85920	
-207.0	0.957	0.85920	
-206.0	0.957	0.85920	
-205.0	0.957	0.85920	
-204.0	0.957	0.85920	
-203.0	0.957	0.85920	
-202.0	0.955	0.85888	
-201.0	0.957	0.85920	
-200.0	0.957	0.85920	
-199.0	0.957	0.85920	
-198.0	0.957	0.85920	
-197.0	0.963	0.85920	
-196.0	0.960	0.85888	
-195.0	0.960	0.85888	
-194.0	0.960	0.85920	
-193.0	0.960	0.85888	
-192.0	0.960	0.85888	
-191.0	0.960	0.85888	
-190.0	0.960	0.85888	
-189.0	0.963	0.85888	
-188.0	0.963	0.85888	
-187.0	0.963	0.85888	
-186.0	0.965	0.85888	
-185.0	0.965	0.85888	
-184.0	0.963	0.85888	
-183.0	0.965	0.85888	
-182.0	0.965	0.85888	
-181.0	0.968	0.85888	
-180.0	0.965	0.85888	
-179.0	0.970	0.85888	
-178.0	0.968	0.85888	
-177.0	0.970	0.85888	
-176.0	0.970	0.85888	
-175.0	0.968	0.85633	
-174.0	0.970	0.85633	
-173.0	0.973	0.85665	
-172.0	0.970	0.85665	
-171.0	0.973	0.85665	
-170.0	0.970	0.85665	
-169.0	0.976	0.85665	
-168.0	0.973	0.85665	
-167.0	0.978	0.85697	
-166.0	0.978	0.85697	
-165.0	0.984	0.85697	
-164.0	0.981	0.85729	
-163.0	0.984	0.85729	
-162.0	0.986	0.85729	
-161.0	0.989	0.85729	
-160.0	0.933	0.85729	
-159.0	1.021	0.85761	
-158.0	1.029	0.85761	
-157.0	0.915	0.85761	
-156.0	1.026	0.85761	
-155.0	0.965	0.85761	
-154.0	1.021	0.85761	
-153.0	1.005	0.85761	
-152.0	1.034	0.85792	
-151.0	1.010	0.85761	
-150.0	0.989	0.85792	
-149.0	1.040	0.85761	
-148.0	1.010	0.85792	
-147.0	1.037	0.85792	
-146.0	1.048	0.85792	
-145.0	1.026	0.85792	
-144.0	1.061	0.85792	
-143.0	1.056	0.85792	
-142.0	1.056	0.85792	
-141.0	1.069	0.85824	
-140.0	1.080	0.85824	
-139.0	1.072	0.85824	
-138.0	1.088	0.85824	
-137.0	1.096	0.85824	
-136.0	1.098	0.85824	
-135.0	1.109	0.85824	
-134.0	1.120	0.85824	
-133.0	1.122	0.85856	
-132.0	1.133	0.85824	
-131.0	1.146	0.85856	
-130.0	1.149	0.85856	
-129.0	1.162	0.85824	
-128.0	1.170	0.85824	
-127.0	1.178	0.85856	
-126.0	1.189	0.85856	
-125.0	1.200	0.85856	
-124.0	1.208	0.85856	
-123.0	1.221	0.85856	
-122.0	1.234	0.85856	
-121.0	1.245	0.85856	
-120.0	1.258	0.85856	
-119.0	1.269	0.85856	
-118.0	1.282	0.85856	
-117.0	1.296	0.85856	
-116.0	1.311	0.85856	
-115.0	1.325	0.85856	
-114.0	1.341	0.85888	
-113.0	1.357	0.85888	
-112.0	1.373	0.85888	
-111.0	1.389	0.85888	
-110.0	1.407	0.85888	
-109.0	1.423	0.85888	
-108.0	1.442	0.85888	
-107.0	1.463	0.85888	
-106.0	1.485	0.85888	
-105.0	1.501	0.85888	
-104.0	1.522	0.85888	
-103.0	1.546	0.85888	
-102.0	1.567	0.85888	
-101.0	1.591	0.85888	
-100.0	1.615	0.85888	
-99.0	1.639	0.85888	
-98.0	1.666	0.85888	
-97.0	1.692	0.85888	
-96.0	1.722	0.85888	
-95.0	1.748	0.85888	
-94.0	1.778	0.85888	
-93.0	1.812	0.85888	
-92.0	1.842	0.85888	
-91.0	1.876	0.85888	
-90.0	1.911	0.85888	
-89.0	1.948	0.85888	
-88.0	1.983	0.85920	
-87.0	2.023	0.85888	
-86.0	2.063	0.85920	
-85.0	2.108	0.85888	
-84.0	2.148	0.85920	
-83.0	2.193	0.85920	
-82.0	2.244	0.85888	
-81.0	2.289	0.85888	
-80.0	2.342	0.85888	
-79.0	2.398	0.85888	
-78.0	2.452	0.85888	
-77.0	2.513	0.85888	
-76.0	2.572	0.85888	
-75.0	2.633	0.85856	
-74.0	2.699	0.85888	
-73.0	2.769	0.85888	
-72.0	2.838	0.85888	
-71.0	2.915	0.85888	
-70.0	2.993	0.85856	
-69.0	3.075	0.85888	
-68.0	3.163	0.85888	
-67.0	3.248	0.85888	
-66.0	3.342	0.85856	
-65.0	3.443	0.85856	
-64.0	3.541	0.85888	
-63.0	3.653	0.85856	
-62.0	3.765	0.85856	
