CrankAngle	PCYL1
deg	bar
-360	1.093
-359	1.058
-358	1.039
-357	1.013
-356	0.978
-355	0.949
-354	0.933
-353	0.903
-352	0.89
-351	0.877
-350	0.874
-349	0.872
-348	0.858
-347	0.864
-346	0.866
-345	0.856
-344	0.856
-343	0.856
-342	0.85
-341	0.853
-340	0.848
-339	0.853
-338	0.845
-337	0.842
-336	0.837
-335	0.834
-334	0.832
-333	0.832
-332	0.832
-331	0.834
-330	0.837
-329	0.837
-328	0.842
-327	0.842
-326	0.845
-325	0.842
-324	0.848
-323	0.848
-322	0.85
-321	0.853
-320	0.856
-319	0.858
-318	0.861
-317	0.866
-316	0.866
-315	0.869
-314	0.872
-313	0.872
-312	0.874
-311	0.874
-310	0.877
-309	0.874
-308	0.877
-307	0.877
-306	0.877
-305	0.877
-304	0.882
-303	0.88
-302	0.88
-301	0.882
-300	0.882
-299	0.882
-298	0.882
-297	0.88
-296	0.88
-295	0.882
-294	0.882
-293	0.88
-292	0.882
-291	0.882
-290	0.88
-289	0.88
-288	0.88
-287	0.88
-286	0.882
-285	0.882
-284	0.882
-283	0.88
-282	0.882
-281	0.882
-280	0.882
-279	0.885
-278	0.885
-277	0.885
-276	0.885
-275	0.888
-274	0.885
-273	0.885
-272	0.888
-271	0.888
-270	0.888
-269	0.89
-268	0.885
-267	0.888
-266	0.89
-265	0.888
-264	0.89
-263	0.89
-262	0.888
-261	0.89
-260	0.893
-259	0.898
-258	0.896
-257	0.898
-256	0.901
-255	0.903
-254	0.909
-253	0.909
-252	0.911
-251	0.914
-250	0.919
-249	0.919
-248	0.922
-247	0.927
-246	0.93
-245	0.933
-244	0.938
-243	0.941
-242	0.941
-241	0.946
-240	0.949
-239	0.951
-238	0.954
-237	0.959
-236	0.959
-235	0.959
-234	0.965
-233	0.962
-232	0.965
-231	0.967
-230	0.967
-229	0.97
-228	0.973
-227	0.973
-226	0.973
-225	0.975
-224	0.975
-223	0.975
-222	0.978
-221	0.978
-220	0.978
-219	0.978
-218	0.981
-217	0.981
-216	0.981
-215	0.981
-214	0.981
-213	0.981
-212	0.983
-211	0.983
-210	0.983
-209	0.983
-208	0.986
-207	0.983
-206	0.983
-205	0.983
-204	0.983
-203	0.986
-202	0.986
-201	0.983
-200	0.983
-199	0.986
-198	0.983
-197	0.986
-196	0.986
-195	0.986
-194	0.986
-193	0.986
-192	0.989
-191	0.989
-190	0.989
-189	0.989
-188	0.989
-187	0.991
-186	0.991
-185	0.989
-184	0.989
-183	0.991
-182	0.989
-181	0.989
-180	0.991
-179	0.991
-178	0.989
-177	0.991
-176	0.989
-175	0.989
-174	0.991
-173	0.991
-172	0.991
-171	0.994
-170	0.997
-169	0.994
-168	0.994
-167	0.999
-166	0.999
-165	1.002
-164	1.007
-163	1.002
-162	1.013
-161	1.013
-160	1.002
-159	1.058
-158	0.917
-157	1.039
-156	0.959
-155	1.063
-154	0.989
-153	1.018
-152	1.055
-151	1.047
-150	1.039
-149	1.026
-148	1.039
-147	1.042
-146	1.047
-145	1.061
-144	1.069
-143	1.061
-142	1.087
-141	1.074
-140	1.09
-139	1.101
-138	1.103
-137	1.111
-136	1.122
-135	1.127
-134	1.138
-133	1.143
-132	1.157
-131	1.165
-130	1.175
-129	1.186
-128	1.194
-127	1.205
-126	1.218
-125	1.226
-124	1.239
-123	1.25
-122	1.26
-121	1.274
-120	1.29
-119	1.3
-118	1.314
-117	1.33
-116	1.34
-115	1.359
-114	1.375
-113	1.391
-112	1.404
-111	1.423
-110	1.439
-109	1.458
-108	1.479
-107	1.495
-106	1.516
-105	1.54
-104	1.559
-103	1.583
-102	1.607
-101	1.631
-100	1.652
-99	1.679
-98	1.695
-97	1.732
-96	1.761
-95	1.793
-94	1.82
-93	1.852
-92	1.889
-91	1.919
-90	1.956
-89	1.993
-88	2.03
-87	2.07
-86	2.113
-85	2.153
-84	2.201
-83	2.246
-82	2.291
-81	2.345
-80	2.398
-79	2.451
-78	2.507
-77	2.569
-76	2.63
-75	2.694
-74	2.76
-73	2.832
-72	2.907
-71	2.981
-70	3.064
-69	3.144
-68	3.235
-67	3.325
-66	3.418
-65	3.522
-64	3.626
-63	3.738
-62	3.853
-61	3.975
-60	4.103
-59	4.234
-58	4.377
-57	4.519
-56	4.681
-55	4.841
-54	5.017
-53	5.195
-52	5.384
-51	5.584
-50	5.8
-49	6.026
-48	6.261
-47	6.511
-46	6.778
-45	7.055
-44	7.353
-43	7.665
-42	7.995
-41	8.344
-40	8.723
-39	9.111
-38	9.532
-37	9.975
-36	10.446
-35	10.939
-34	11.477
-33	12.034
-32	12.628
-31	13.259
-30	13.928
-29.9	13.997
-29.8	14.064
-29.7	14.133
-29.6	14.202
-29.5	14.274
-29.4	14.344
-29.3	14.413
-29.2	14.485
-29.1	14.557
-29	14.629
-28.9	14.701
-28.8	14.778
-28.7	14.853
-28.6	14.927
-28.5	15.002
-28.4	15.076
-28.3	15.154
-28.2	15.228
-28.1	15.308
-28	15.383
-27.9	15.46
-27.8	15.535
-27.7	15.612
-27.6	15.689
-27.5	15.769
-27.4	15.846
-27.3	15.926
-27.2	16.006
-27.1	16.089
-27	16.169
-26.9	16.248
-26.8	16.331
-26.7	16.414
-26.6	16.499
-26.5	16.584
-26.4	16.667
-26.3	16.752
-26.2	16.832
-26.1	16.917
-26	17.002
-25.9	17.09
-25.8	17.176
-25.7	17.263
-25.6	17.351
-25.5	17.439
-25.4	17.527
-25.3	17.615
-25.2	17.703
-25.1	17.796
-25	17.887
-24.9	17.98
-24.8	18.071
-24.7	18.161
-24.6	18.255
-24.5	18.348
-24.4	18.441
-24.3	18.537
-24.2	18.627
-24.1	18.723
-24	18.817
-23.9	18.91
-23.8	19.006
-23.7	19.102
-23.6	19.198
-23.5	19.296
-23.4	19.395
-23.3	19.491
-23.2	19.589
-23.1	19.69
